fips_code,county,moore,total_votes,pct_moore_votes
24001,Allegany,6390,20912,30.556618209640398
24003,Anne Arundel,83643,162090,51.602813251897096
24005,Baltimore County,117356,200916,58.4104800015927
24009,Calvert,14236,33571,42.40564773167317
24011,Caroline,3276,10375,31.57590361445783
24013,Carroll,25155,66636,37.74986493787142
24015,Cecil,8691,27788,31.276090398733263
24017,Charles,33633,49834,67.49006702251475
24019,Dorchester,4341,10875,39.91724137931035
24021,Frederick,38581,81289,47.46152615975101
24023,Garrett,2402,10981,21.87414625261816
24025,Harford,38139,92636,41.170819119996544
24027,Howard,83690,120779,69.29184709262371
24029,Kent,4256,8229,51.719528496779674
24031,Montgomery,191695,253373,75.65723261752436
24033,Prince George's,161692,183075,88.32008739587602
24035,Queen Anne's,8577,22165,38.69614256711031
24037,Saint Mary's,13291,34830,38.15963250071777
24039,Somerset,2254,6422,35.098100280286516
24041,Talbot,7989,15973,50.01565141175735
24043,Washington,15723,44004,35.73084265066812
24045,Wicomico,12213,27742,44.02350227092495
24047,Worcester,8550,22538,37.93593042860946
24510,Baltimore City,107563,122511,87.79864665213736
